Type,Approved symbol,Name
gene,EPX,eosinophil peroxidase
gene,TPO,thyroid peroxidase
gene,GPX1,glutathione peroxidase 1
gene,GPX2,glutathione peroxidase 2
gene,GPX3,glutathione peroxidase 3
gene,GPX4,glutathione peroxidase 4
gene,GPX5,glutathione peroxidase 5
gene,GPX6,glutathione peroxidase 6
gene,GPX7,glutathione peroxidase 7
gene,GPX1P1,glutathione peroxidase pseudogene 1
gene,GPX1P2,glutathione peroxidase pseudogene 2
gene,GPX8,glutathione peroxidase 8 (putative)
gene,PRDX2,peroxiredoxin 2
gene,PRDX5,peroxiredoxin 5
gene,DUOX2,dual oxidase 2
